Product Name,Woolworths_Price,Coles_Price,Woolworths_Image,Coles_image
NutriBullet 600 Series each,99.0,89.0,https://assets.woolworths.com.au/images/1005/517328.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2748269.jpg&w=640&q=90
Wiltshire Digital Timer each,11.5,11.5,https://assets.woolworths.com.au/images/1005/210650.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8386342.jpg&w=640&q=90
Odor Eaters Foot & Shoe Spray Sport 150ml,9.0,9.0,https://assets.woolworths.com.au/images/1005/162028.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3808209.jpg&w=640&q=90
BIC Cristal Original Pen Blue 10 pack,4.4,5.5,https://assets.woolworths.com.au/images/1005/15765.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1170356.jpg&w=640&q=90
Decor Microsafe 3 In 1 Egg Cooker each,12.0,12.0,https://assets.woolworths.com.au/images/1005/423765.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8185690.jpg&w=640&q=90
Decor Fresh Seal Clips Infuser Jug 2.4L each,8.25,12.5,https://assets.woolworths.com.au/images/1005/689942.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3725724.jpg&w=640&q=90
BIC Cristal Original Pen Black 10 pack,4.4,5.5,https://assets.woolworths.com.au/images/1005/101133.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1170345.jpg&w=640&q=90
Oakwood Shoe Protector 180ml,8.0,8.0,https://assets.woolworths.com.au/images/1005/122542.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6420982.jpg&w=640&q=90
Oakwood Sneaker Wipes 16 pack,3.5,3.5,https://assets.woolworths.com.au/images/1005/142203.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6420870.jpg&w=640&q=90
BIC Kids Turn & Colour Crayons 12 pack,8.8,8.8,https://assets.woolworths.com.au/images/1005/785296.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3936898.jpg&w=640&q=90
Korbond Lint Shaver each,11.0,11.0,https://assets.woolworths.com.au/images/1005/104441.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3974300.jpg&w=640&q=90
Korbond Threaded Needle Kit 10 pack,3.2,3.2,https://assets.woolworths.com.au/images/1005/101485.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3973894.jpg&w=640&q=90
Crayola Color & Sticker Bluey each,4.65,5.8,https://assets.woolworths.com.au/images/1005/206392.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5249480.jpg&w=640&q=90
Korbond Travel Sewing Kit each,5.0,5.5,https://assets.woolworths.com.au/images/1005/105182.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5135528.jpg&w=640&q=90
Korbond Polyester Thread Multi Colours 5 pack,4.2,4.2,https://assets.woolworths.com.au/images/1005/102216.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3973920.jpg&w=640&q=90
Korbond Instant Repair Kit each,5.0,5.5,https://assets.woolworths.com.au/images/1005/105154.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2407009.jpg&w=640&q=90
Korbond Instant Hook & Loop Dots Self Stick 40 pack,7.0,7.2,https://assets.woolworths.com.au/images/1005/104497.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3973974.jpg&w=640&q=90
Korbond Hat Elastic White/Black each,5.0,5.5,https://assets.woolworths.com.au/images/1005/104440.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3973996.jpg&w=640&q=90
Korbond Silicone Nipple Covers each,10.0,10.0,https://assets.woolworths.com.au/images/1005/105206.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3974263.jpg&w=640&q=90
BIC 4 Colours Smooth Pen each,4.4,3.85,https://assets.woolworths.com.au/images/1005/6024392.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1282633.jpg&w=640&q=90
Brita Water Filter Cartridge Maxtra Pro Pure Performance each,17.0,17.0,https://assets.woolworths.com.au/images/1005/690724.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1033050.jpg&w=640&q=90
Redheads Extra Long Matches 45 pack,3.5,3.5,https://assets.woolworths.com.au/images/1005/21366.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F492845.jpg&w=640&q=90
Paper Mate Kilometrico Ballpoint Pens Blue 10 pack,3.5,5.0,https://assets.woolworths.com.au/images/1005/239955.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3251030.jpg&w=640&q=90
Hot Hands Hand Warmers Pair each,2.5,2.5,https://assets.woolworths.com.au/images/1005/747615.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2396274.jpg&w=640&q=90
Westcott Antimicrobial 7in Kids Scissors each,2.9,3.7,https://assets.woolworths.com.au/images/1005/139678.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6821906.jpg&w=640&q=90
Korbond Polyester Thread Black & White 500M 2 pack,3.0,3.2,https://assets.woolworths.com.au/images/1005/94499.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3973919.jpg&w=640&q=90
Clio Invisible Band Knee High Natural One Size each,6.0,6.0,https://assets.woolworths.com.au/images/1005/297047.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6828643.jpg&w=640&q=90
Inkredibles Magic Ink Assorted each,8.5,6.0,https://assets.woolworths.com.au/images/1005/238688.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1296398.jpg&w=640&q=90
