Product Name,Woolworths_Price,Coles_Price,Woolworths_Image,Coles_image
Rafferty's Garden Mini Yoghurt Drops Raspberry & Blackberry 8g,2.5,2.5,https://assets.woolworths.com.au/images/1005/104077.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4158890.jpg&w=640&q=90
Cetaphil Baby Gentle Wash & Shampoo 400mL,15.8,11.0,https://assets.woolworths.com.au/images/1005/26457.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3508850.jpg&w=640&q=90
Huggies Gentle Cleanse Baby Wipes Fragrance Free 80 pack,2.75,5.5,https://assets.woolworths.com.au/images/1005/20391.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6894579.jpg&w=640&q=90
BabyLove Nappy Pants Size 6 (15-25kg) 22 pack,20.0,20.0,https://assets.woolworths.com.au/images/1005/740040.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7268680.jpg&w=640&q=90
BabyLove Nappy Pants Size 5 (12-17kg) 25 pack,20.0,20.0,https://assets.woolworths.com.au/images/1005/740039.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1007071.jpg&w=640&q=90
Huggies PURE 99% Purified Water Baby Wipes 72 pack,2.75,5.5,https://assets.woolworths.com.au/images/1005/216801.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5236897.jpg&w=640&q=90
Huggies Ultra Dry Nappies Boys Size 5 (13-18kg) 32 pack,24.0,12.0,https://assets.woolworths.com.au/images/1005/16631.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6802559.jpg&w=640&q=90
Nan COMFORT 3 Toddler Milk Drink From 1 Year 800g,23.1,23.1,https://assets.woolworths.com.au/images/1005/155541.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4162616.jpg&w=640&q=90
Huggies Ultra Dry Nappies Boys Size 4 (10-15kg) 36 pack,24.0,12.0,https://assets.woolworths.com.au/images/1005/16614.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6803890.jpg&w=640&q=90
Huggies Ultra Dry Nappies Boys Size 6 (16kg+) 30 pack,24.0,12.0,https://assets.woolworths.com.au/images/1005/200705.jpg?impolicy=wowsmkqiema&w=260&h=260,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9636070.jpg&w=640&q=90
